"Feature","Mean_SHAP","SD_Across_Seeds"
"exposure",382.754813647252,6.50485799791149
"veh_value",182.390067971412,3.86884827218986
"agecat",168.842327472108,2.79206459970712
"area",132.289139408908,4.1658937366599
"veh_body",126.172315606781,5.49023998093045
"veh_age",103.184797409414,4.35602265451917
"gender",87.3691315712537,2.43405831291022
