"Model","Feature","Mean_Absolute_SHAP","SD_SHAP"
"Base","exposure",380.438493162697,7.2329594851531
"Base","veh_value",179.166724483633,9.88874789150992
"Base","agecat",167.309262547319,4.00975355434883
"Base","area",135.895262269656,4.77581703606847
"Base","veh_body",126.364983175388,2.45631218566225
"Base","veh_age",101.177425771255,3.49378385939349
"Base","gender",85.0363635383431,5.71265782999367
"Overspecified","exposure",390.489695542381,4.48325855139153
"Overspecified","noise_1",160.658812948291,3.29603709017213
"Overspecified","veh_value",133.978022816873,3.56544947664934
"Overspecified","agecat",113.095441569727,2.0484273205836
"Overspecified","veh_body",98.620054558709,6.23286790742201
"Overspecified","noise_2",96.9672745407269,3.875223560225
"Overspecified","noise_4",92.9909481175857,2.74127181134616
"Overspecified","area",80.8185496904334,4.11321520313678
"Overspecified","noise_3",77.0071818166283,3.11560109876414
"Overspecified","noise_5",71.6294700256897,3.68407113313783
"Overspecified","veh_age",45.9653141672063,3.20212736940696
"Overspecified","gender",29.6398853083008,2.96402399834391
