"Base_Feature","Mean_Absolute_SHAP","Max_Abs_Coefficient","SHAP_Rank","GLM_Rank"
"exposure",353.686580110288,0.802533114510602,1,2
"veh_value",187.024742231115,0.00489706463589397,2,7
"area",154.439845729105,0.11876085055747,3,3
"agecat",146.564335199444,0.0477142218694439,4,6
"veh_body",129.045119283267,1.42207747943282,5,1
"veh_age",111.106803939492,0.0570132458277106,6,5
"gender",80.4046433237966,0.105315890477987,7,4
