"Feature","Mean_Absolute_SHAP"
"pnodes",0.0787727404159345
"progrec",0.0650018901992317
"estrec",0.0352963781812788
"age",0.0241903319628845
"tsize",0.0225863255366749
"horTh",0.0116261506241776
"tgrade",0.00687200690848806
"menostat",0.00249634716363648
