"Feature","Mean_Absolute_SHAP"
"exposure",353.686580110288
"veh_value",187.024742231115
"area",154.439845729105
"agecat",146.564335199444
"veh_body",129.045119283267
"veh_age",111.106803939492
"gender",80.4046433237966
