"Feature","Mean_SHAP","SD_Across_Seeds"
"progrec",0.0641788381837382,0.00166308844499631
"pnodes",0.0568849481897714,0.0015805197638835
"estrec",0.0356743797007488,0.000702912774622763
"tsize",0.0331522703333107,0.00175059002637005
"age",0.0237056752437235,0.00133409120770619
"horTh",0.0115554694708086,0.000821520344403031
"tgrade",0.00485960231009231,0.000585995900810032
"menostat",0.00257435719004627,0.00055027026005031
